年度,積地_都道府県名,積地_港名,揚地_都道府県名,揚地_港名,サンプル数,平均_総トン数,平均_載貨重量トン数,用途_自動車専用船_サンプル数,用途_自動車専用船_総トン数,用途_自動車専用船_載貨重量トン数,用途_セメント専用船_サンプル数,用途_セメント専用船_総トン数,用途_セメント専用船_載貨重量トン数,用途_石灰石専用船_サンプル数,用途_石灰石専用船_総トン数,用途_石灰石専用船_載貨重量トン数,用途_石炭専用船_サンプル数,用途_石炭専用船_総トン数,用途_石炭専用船_載貨重量トン数,用途_コンテナ専用船_サンプル数,用途_コンテナ専用船_総トン数,用途_コンテナ専用船_載貨重量トン数,用途_RORO船_サンプル数,用途_RORO船_総トン数,用途_RORO船_載貨重量トン数,用途_その他の貨物船_サンプル数,用途_その他の貨物船_総トン数,用途_その他の貨物船_載貨重量トン数,用途_油送船_サンプル数,用途_油送船_総トン数,用途_油送船_載貨重量トン数,用途_プッシャーバージ又は台船_サンプル数,用途_プッシャーバージ又は台船_総トン数,用途_プッシャーバージ又は台船_載貨重量トン数,平均_積載率,平均_貨物の重量,平均_輸送距離,積地_経度,積地_緯度,揚地_経度,揚地_緯度
2020,徳島県,阿南港,茨城県,鹿島港,3,498.6666666666667,1700.0,,,,,,,,,,,,,,,,,,,3.0,498.6666666666667,1700.0,,,,,,,29.3456753160346,1520.3333333333333,393.6666666666667,140.60518,35.92517,140.47122,36.36586
2017,兵庫県,尼崎港,三重県,鵜殿港,9,198.66666666666663,508.44444444444446,,,,,,,,,,,,,,,,,,,,,,9.0,198.66666666666663,508.44444444444446,,,,39.152861797839606,250.11111111111111,133.0,139.89156,36.19485,136.50545,34.71856
2020,福岡県,戸畑港,香川県,高松港,3,469.6666666666667,1593.3333333333333,,,,2.0,455.0,1535.0,,,,,,,,,,,,,1.0,499.0,1710.0,,,,,,,29.48822472395248,368.6666666666667,189.66666666666663,141.33398,40.27981,140.78973,42.65911
2020,秋田県,秋田港,北海道,上磯港,4,498.75,1660.0,,,,,,,,,,,,,,,,,,,4.0,498.75,1660.0,,,,,,,30.046180366539648,1522.5,150.0,142.29948,44.80835,140.41885,41.59838
2022,兵庫県,姫路港,山口県,宇部港,17,302.1764705882353,908.2352941176472,,,,,,,,,,,,,,,,,,,16.0,290.3125,913.75,,,,1.0,492.0,820.0,33.416660118403364,741.0588235294117,199.2941176470588,139.89156,36.19485,141.06302,40.28997
2019,兵庫県,高砂港,兵庫県,赤穂港,99,522.5555555555555,1123.3636363636365,,,,69.0,456.0,1000.0,,,,,,,,,,,,,30.0,675.6333333333333,1407.1,,,,,,,46.350754418610926,674.6060606060606,25.373737373737374,139.89156,36.19485,139.89156,36.19485
2017,島根県,江津港,福岡県,三池港,69,397.5217391304348,909.1304347826087,,,,,,,,,,,,,,,,,,,,,,69.0,397.5217391304348,909.1304347826087,,,,43.65241482087382,617.6811594202899,253.0,139.59189,35.88313,139.5231,35.88427
2019,福井県,三国港,福井県,美浜港,1,497.0,1580.0,,,,,,,,,,,,,,,,,,,1.0,497.0,1580.0,,,,,,,31.455696202531648,650.0,40.0,141.27077,43.05597,140.63809,42.78446
2017,福岡県,戸畑港,新潟県,柏崎港,10,498.4,1623.0,,,,,,,,,,,,,,,,,,,10.0,498.4,1623.0,,,,,,,30.71316596527463,1045.1,457.7,141.33398,40.27981,139.03641,37.91613
2022,広島県,三ツ子島港,宮崎県,細島港,1,6126.0,11023.0,,,,,,,,,,,,,,,,,,,1.0,6126.0,11023.0,,,,,,,55.57470742991926,10600.0,145.0,138.27357,37.05242,141.45241,38.45136
2020,大分県,大分港,福岡県,大牟田港,36,2299.277777777778,3539.777777777778,,,,,,,,,,,,,,,,,,,,,,36.0,2299.277777777778,3539.777777777778,,,,57.06211348912338,1934.5277777777776,295.3888888888889,130.62473,33.58446,141.30675,40.27882
2023,岩手県,釜石港,神奈川県,横浜港,27,749.0,1882.5185185185185,,,,,,,,,,,,,17.0,749.0,1828.7058823529408,,,,10.0,749.0,1974.0,,,,,,,39.852513991823336,521.6666666666666,343.0,142.30954,44.84611,139.63795,35.44403
2016,和歌山県,和歌山下津港,広島県,広島港,5,840.0,1791.6,,,,,,,,,,,,,,,,,,,,,,5.0,840.0,1791.6,,,,48.903969126218485,693.4,201.0,135.17081,34.23051,141.56363,42.98566
2019,和歌山県,下津港,神奈川県,横浜港,1,2967.0,4986.0,,,,,,,,,,,,,,,,,,,,,,1.0,2967.0,4986.0,,,,59.50661853188929,770.0,339.0,135.17081,34.23051,139.63795,35.44403
2018,広島県,小用港,福岡県,大牟田港,11,2661.090909090909,3892.0,,,,,,,,,,,,,,,,,,,,,,11.0,2661.090909090909,3892.0,,,,61.71726122410616,2331.0,277.0,134.57585,34.13274,141.30675,40.27882
2020,新潟県,新潟港,千葉県,市川港,2,547.5,1271.0,,,,,,,,,,,,,,,,,,,,,,2.0,547.5,1271.0,,,,43.064735286379744,400.0,777.0,139.03641,37.91613,140.21907,35.58701
2019,北海道,苫小牧港,山口県,徳山下松港,99,3230.282828282828,4625.777777777777,,,,,,,,,,,,,,,,,,,,,,99.0,3230.282828282828,4625.777777777777,,,,67.49995106851037,3736.1111111111113,866.0,141.6055,42.63409,141.06302,40.28997
2021,神奈川県,扇島港,静岡県,大井川港,3,1545.0,2966.0,,,,,,,,,,,,,,,,,,,,,,3.0,1545.0,2966.0,,,,51.18488884387502,2089.333333333333,121.0,139.63795,35.44403,138.38239,34.97547
2019,兵庫県,加古川港,福岡県,苅田港,58,1178.0689655172414,2198.206896551724,,,,16.0,2943.875,3966.625,,,,,,,,,,,,,42.0,505.3809523809524,1524.5238095238096,,,,,,,41.87503031065384,1416.3275862068965,227.6379310344828,139.89156,36.19485,141.33398,40.27981
2021,神奈川県,横浜港,宮城県,仙台港,260,2915.3038461538463,2467.3153846153846,,,,,,,,,,,,,92.0,749.0,1923.9130434782608,48.0,12957.104166666666,5592.625,118.0,498.3898305084746,1576.7796610169491,2.0,4160.0,4998.0,,,,71.56868782566049,190.56153846153848,281.94615384615383,139.63795,35.44403,140.86961,38.26801
2023,岡山県,日比港,兵庫県,東播磨港,1,199.0,373.0,,,,,,,,,,,,,,,,,,,,,,1.0,199.0,373.0,,,,53.35120643431635,300.0,53.0,140.7886,38.02327,139.89156,36.19485
2022,香川県,坂出港,兵庫県,姫路港,13,374.3076923076923,1041.6153846153843,,,,,,,,,,,,,,,,,,,10.0,278.7,952.0,1.0,987.0,2201.0,2.0,546.0,910.0,35.25155061,688.6923076923077,53.07692307692308,140.78973,42.65911,139.89156,36.19485
2020,兵庫県,神戸港,福井県,福井港,1,499.0,1830.0,,,,,,,,,,,,,,,,,,,1.0,499.0,1830.0,,,,,,,27.267759562841533,100.0,570.0,139.89156,36.19485,140.63809,42.78446
2020,香川県,坂出港,広島県,因島港,1,199.0,540.0,,,,,,,,,,,,,,,,,,,,,,1.0,199.0,540.0,,,,36.851851851851855,216.0,41.0,140.78973,42.65911,141.56363,42.98566
2019,岡山県,笠岡港,宮城県,塩釜港,4,759.0,2132.75,,,,,,,,,,,,,,,,,,,4.0,759.0,2132.75,,,,,,,33.93515078475065,1638.75,638.0,140.7886,38.02327,140.86961,38.26801
2019,長崎県,長崎港,新潟県,新潟東港,1,499.0,1620.0,,,,,,,,,,,,,,,,,,,1.0,499.0,1620.0,,,,,,,30.80246913580247,26.0,610.0,140.60237,40.63768,139.03641,37.91613
