年度,モード,品目,発,北海道_着,青森県_着,岩手県_着,宮城県_着,福島県_着,秋田県_着,山形県_着,茨城県_着,栃木県_着,群馬県_着,埼玉県_着,千葉県_着,東京都_着,神奈川県_着,新潟県_着,富山県_着,石川県_着,福井県_着,山梨県_着,長野県_着,静岡県_着,岐阜県_着,愛知県_着,三重県_着,滋賀県_着,京都府_着,奈良県_着,和歌山県_着,大阪府_着,兵庫県_着,鳥取県_着,島根県_着,岡山県_着,広島県_着,山口県_着,香川県_着,愛媛県_着,徳島県_着,高知県_着,福岡県_着,佐賀県_着,長崎県_着,熊本県_着,大分県_着,宮崎県_着,鹿児島県_着,沖縄県_着
2018,自動車,農林水産,東京都,21480,15791,2626,32508,3425,0,77573,81177,155907,383155,1151141,328103,6040991,1313064,97744,0,0,0,13234,0,39222,0,19208,0,0,24437,0,0,73624,54328,29881,0,0,24437,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,自動車,その他,大阪府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,自動車,その他,佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,海運,農林水産,高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,187,0,4338,0,0,0,0,0,0,760,0
2020,鉄道,軽工業品,愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,自動車,特殊品,岐阜県,0,0,0,30227,0,0,0,0,0,0,6430,0,16803,87216,57326,54367,187547,76501,24263,84641,205886,15274334,1215378,351291,84740,46960,272,57792,89553,117119,27334,12798,11747,76548,69439,0,0,21591,0,53830,0,0,30752,0,0,0,0
2018,鉄道,軽工業品,佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,自動車,雑工業品,岩手県,1809,201910,1370676,347092,0,358901,124989,20095,0,4220,14066,0,3215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6028,0,0,0,0,0,0,0
2018,海運,農林水産,大分県,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,9280,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,151,0,0,0,0,0,0,8159,0,0,0
2021,鉄道,金属・機械工業品,鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,自動車,農林水産,秋田県,15877,5774,16265,0,4737,1331576,69378,0,0,43681,32545,0,42866,79243,7606,0,20557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,自動車,軽工業品,大阪府,0,0,17113,20493,16184,0,0,32307,23390,78205,229261,60922,151284,67618,15351,0,130501,33025,0,8838,387559,66481,729692,164314,631585,1497587,1001260,552988,15983805,4464974,174038,0,441623,102407,30952,196685,216599,100624,93505,524696,244260,0,29088,0,0,1711,0
2022,鉄道,農産品,滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,自動車,特殊品,千葉県,0,69231,49382,14087,120181,0,0,1160143,610380,126118,2073482,25551645,1355175,781158,80631,30644,9888,0,280511,48156,123076,56615,389046,107020,0,24446,0,0,407930,61153,0,4944,4944,9888,1187,0,39895,0,0,16623,16623,0,0,0,0,21572,0
2022,自動車,軽工業品,広島県,0,0,0,0,17445,0,0,38854,0,0,105266,22094,0,55494,0,0,0,0,0,0,8374,0,251305,13348,166304,73648,0,0,113628,368447,22726,178697,1736747,7754990,790120,235733,224522,8810,3423,479630,74482,0,85152,0,0,0,0
2021,鉄道,鉱産品,新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,鉄道,雑工業品,香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,鉄道,その他,沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,鉄道,特殊品,和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,海運,軽工業品,岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,鉄道,特殊品,沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,自動車,鉱産品,福島県,0,17195,24491,817662,37863642,0,26455,358541,87817,115390,38284,0,0,57782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,自動車,金属・機械工業品,山梨県,0,0,0,2773,716,0,0,9706,14627,17825,7200,35842,99353,516926,2765,3542,0,0,4454837,87649,262091,0,371888,29522,130517,0,8050,0,1509,0,0,0,4824,63516,0,0,0,0,0,2715,0,0,0,2665,0,0,0
2020,鉄道,雑工業品,佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,自動車,農林水産,岩手県,0,465398,3127398,350259,7910,54176,20327,35096,0,0,56452,42914,175907,339975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,自動車,金属・機械工業品,北海道,18569648,0,12524,0,0,0,10860,0,5617,0,0,3509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,自動車,鉱産品,埼玉県,0,0,0,0,82460,0,57520,211321,408914,1653998,9962296,85249,1643305,261869,0,0,0,0,0,61313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,海運,金属・機械工業品,山口県,1080,0,0,4067,0,0,0,16261,0,0,0,374433,3350,21960,12735,0,1622,0,0,0,3233,0,85867,140,0,0,0,0,311908,45959,0,146,6532,418532,6436,17699,34313,0,0,612721,0,3062,176,16,34,0,3733
2020,鉄道,鉱産品,北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,鉄道,軽工業品,山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,自動車,軽工業品,福岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,97002,0,0,29633,0,0,0,0,0,45907,0,0,32906,28757,0,269861,279842,0,0,0,856557,388548,0,164187,0,0,18491179,3393297,912623,1720097,386984,3323852,713755,0
2021,自動車,農産品,愛媛県,0,0,0,0,0,0,0,0,21301,0,25561,0,0,0,0,0,0,0,0,0,0,0,0,0,9692,0,0,0,53253,0,0,0,5325,3195,3195,5858,1283440,2364,39857,10651,0,0,0,15007,0,0,0
2022,海運,特殊品,佐賀県,1500,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,28616,0,0,6,0,0,0,1026,0,1831,13184,0,2062,0,1038,0,0,0
2021,海運,鉱産品,静岡県,330,0,4500,6250,0,0,0,9056,0,0,0,35800,26181,11000,0,0,0,0,0,0,143883,0,0,0,0,0,0,3030,2156,11259,0,0,1500,0,0,0,0,0,2980,0,0,13200,0,0,0,0,0
2019,海運,農林水産,茨城県,223127,27220,12435,137222,0,0,0,319,0,0,0,12606,3824,20509,3000,0,0,0,0,0,25436,0,47161,721,0,0,0,0,0,1501,0,0,11853,0,0,2005,0,0,0,10850,0,0,0,0,0,7791,0
2017,鉄道,特殊品,愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,海運,金属・機械工業品,岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,自動車,農産品,大阪府,0,0,0,0,0,0,0,0,94562,10638,0,0,2222,2667,24964,14184,41134,5910,10047,0,78132,36347,144916,9456,141973,240301,101336,59284,1525811,169632,65011,2364,63268,33924,11820,0,23898,14667,0,23640,0,0,0,2364,0,0,0
2021,鉄道,その他,奈良県,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,自動車,金属・機械工業品,茨城県,2390,45702,117925,157923,352554,54603,67879,9360807,1099411,329090,1153042,1621115,1028752,1784845,168629,0,3785,31674,74760,53241,357610,23618,231691,41388,3004,23898,0,0,96207,14207,0,0,24858,118327,1210,0,18966,0,0,15665,18966,0,0,0,0,0,0
2018,自動車,化学工業品,島根県,0,0,0,0,0,0,0,0,27817,0,0,0,0,0,0,0,0,0,0,0,48475,0,0,0,14602,0,0,0,0,64449,67287,2963684,31378,29206,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,海運,その他,沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2407,3655
2020,鉄道,鉱産品,新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,自動車,農林水産,滋賀県,0,0,0,0,0,0,0,0,0,0,39556,0,0,0,0,0,0,0,0,0,0,0,94985,1813,552393,43541,0,0,5813,2337,0,0,0,0,0,0,0,0,0,2358,0,0,0,0,0,0,0
2022,鉄道,農林水産,三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,鉄道,鉱産品,奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
